,Unnamed: 0,specimen__id,swc__fname,structure_parent__acronym,structure__layer,Transgenic_line,donor__id,Subclass_or_type,structure_parent__id,model__fold,structure__safe_name,structure_merge__acronym
23,23,17109_6501-X6997-Y4287,1119749396_17109_6501-X6997-Y4287_reg.swc,AUDpo,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,1027.0,7.0,AUDpo_layer6,Isocortex_layer6
24,24,17109_6601-X5417-Y25287,1119749400_17109_6601-X5417-Y25287_reg.swc,VISal,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,402.0,5.0,VISal_layer6,Isocortex_layer6
25,25,17109_6601-X4384-Y7436,1119749398_17109_6601-X4384-Y7436_reg.swc,VISal,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,402.0,7.0,VISal_layer6,Isocortex_layer6
26,26,17109_6801-X7432-Y4405,1119749402_17109_6801-X7432-Y4405_reg.swc,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,541.0,2.0,TEa_layer6,Isocortex_layer6
27,27,17109_6901-X7203-Y26714,1119749404_17109_6901-X7203-Y26714_reg.swc,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,541.0,7.0,TEa_layer6,Isocortex_layer6
28,28,17109_7001-X6205-Y5194,1119749408_17109_7001-X6205-Y5194_reg.swc,TEa,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,541.0,6.0,TEa_layer6,Isocortex_layer6
29,29,17109_7001-X5738-Y6470,1119749406_17109_7001-X5738-Y6470_reg.swc,VISl,6,Gnb4-IRES2-CreERT2;Ai140_297974-17109,17109,Car3,409.0,8.0,VISl_layer6,Isocortex_layer6
30,30,17300_3426-X20339-Y44872,1119749410_17300_3426-X20339-Y44872_reg.swc,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,378.0,2.0,SSs_layer5,Isocortex_layer5
31,31,17300_3514-X19676-Y45282,1119749412_17300_3514-X19676-Y45282_reg.swc,SSs,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,378.0,3.0,SSs_layer5,Isocortex_layer5
32,32,17300_5571-X27063-Y39610,1119749414_17300_5571-X27063-Y39610_reg.swc,VISa,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,312782546.0,8.0,VISa_layer5,Isocortex_layer5
33,33,17300_5896-X24862-Y27320,1119749416_17300_5896-X24862-Y27320_reg.swc,RSPv,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,886.0,7.0,RSPv_layer5,Isocortex_layer5
34,34,17300_5969-X27278-Y20820,1119749418_17300_5969-X27278-Y20820_reg.swc,VISp,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,385.0,7.0,VISp_layer5,Isocortex_layer5
35,35,17300_6010-X23413-Y13446,1119749420_17300_6010-X23413-Y13446_reg.swc,VISal,5,Plxnd1-CreER;Ai82;Ai140_314107-17300,17300,CTX_IT,402.0,9.0,VISal_layer5,Isocortex_layer5
36,36,17302_1892-X17514-Y37780,1119749422_17302_1892-X17514-Y37780_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,1.0,CP_layernan,CP
37,37,17302_2262-X17832-Y40338,1119749424_17302_2262-X17832-Y40338_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,8.0,CP_layernan,CP
38,38,17302_2298-X18872-Y21546,1119749426_17302_2298-X18872-Y21546_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,4.0,CP_layernan,CP
39,39,17302_2300-X15085-Y35257,1119749428_17302_2300-X15085-Y35257_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,6.0,CP_layernan,CP
40,40,17302_2332-X18576-Y20014,1119749431_17302_2332-X18576-Y20014_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,0.0,CP_layernan,CP
41,41,17302_2340-X21078-Y36654,1119749433_17302_2340-X21078-Y36654_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,5.0,CP_layernan,CP
42,42,17302_2366-X21571-Y23448,1119749435_17302_2366-X21571-Y23448_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,3.0,CP_layernan,CP
43,43,17302_2400-X18340-Y17942,1119749437_17302_2400-X18340-Y17942_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,9.0,CP_layernan,CP
44,44,17302_2406-X20160-Y35118,1119749439_17302_2406-X20160-Y35118_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,7.0,CP_layernan,CP
45,45,17302_2416-X18816-Y39212,1119749441_17302_2416-X18816-Y39212_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,2.0,CP_layernan,CP
46,46,17302_2522-X19768-Y17660,1119749443_17302_2522-X19768-Y17660_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,8.0,CP_layernan,CP
47,47,17302_2540-X20930-Y37312,1119749445_17302_2540-X20930-Y37312_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,4.0,CP_layernan,CP
48,48,17302_2595-X14957-Y42174,1119749447_17302_2595-X14957-Y42174_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,2.0,CP_layernan,CP
49,49,17302_2634-X14565-Y41960,1119749449_17302_2634-X14565-Y41960_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,6.0,CP_layernan,CP
50,50,17302_2635-X19764-Y37280,1119749453_17302_2635-X19764-Y37280_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,3.0,CP_layernan,CP
51,51,17302_2643-X14652-Y40496,1119749455_17302_2643-X14652-Y40496_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,9.0,CP_layernan,CP
52,52,17302_2698-X14744-Y41462,1119749457_17302_2698-X14744-Y41462_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,0.0,CP_layernan,CP
53,53,17302_2712-X16174-Y42325,1119749459_17302_2712-X16174-Y42325_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,1.0,CP_layernan,CP
54,54,17302_2749-X14380-Y42169,1119749461_17302_2749-X14380-Y42169_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,7.0,CP_layernan,CP
55,55,17302_2760-X16282-Y41922,1119749465_17302_2760-X16282-Y41922_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,5.0,CP_layernan,CP
56,56,17302_2760-X14753-Y42111,1119749463_17302_2760-X14753-Y42111_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,8.0,CP_layernan,CP
57,57,17302_2768-X22642-Y21834,1119749467_17302_2768-X22642-Y21834_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,2.0,CP_layernan,CP
58,58,17302_2770-X12479-Y41606,1119749469_17302_2770-X12479-Y41606_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,5.0,CP_layernan,CP
59,59,17302_2771-X20862-Y19117,1119749471_17302_2771-X20862-Y19117_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,9.0,CP_layernan,CP
60,60,17302_2798-X19112-Y41280,1119749473_17302_2798-X19112-Y41280_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,1.0,CP_layernan,CP
61,61,17302_2799-X14358-Y42117,1119749475_17302_2799-X14358-Y42117_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,3.0,CP_layernan,CP
62,62,17302_2828-X14498-Y42598,1119749478_17302_2828-X14498-Y42598_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,0.0,CP_layernan,CP
63,63,17302_2849-X21399-Y18588,1119749480_17302_2849-X21399-Y18588_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,6.0,CP_layernan,CP
64,64,17302_2909-X19230-Y16207,1119749482_17302_2909-X19230-Y16207_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,4.0,CP_layernan,CP
65,65,17302_2914-X17153-Y16362,1119749484_17302_2914-X17153-Y16362_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,7.0,CP_layernan,CP
66,66,17302_2936-X18680-Y17506,1119749486_17302_2936-X18680-Y17506_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,9.0,CP_layernan,CP
67,67,17302_2952-X16201-Y15609,1119749490_17302_2952-X16201-Y15609_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,4.0,CP_layernan,CP
68,68,17302_2972-X21903-Y21526,1119749492_17302_2972-X21903-Y21526_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,8.0,CP_layernan,CP
69,69,17302_2978-X18236-Y16472,1119749494_17302_2978-X18236-Y16472_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,3.0,CP_layernan,CP
70,70,17302_3041-X22691-Y20861,1119749496_17302_3041-X22691-Y20861_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,1.0,CP_layernan,CP
71,71,17302_3044-X14958-Y17061,1119749498_17302_3044-X14958-Y17061_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,6.0,CP_layernan,CP
72,72,17302_3054-X17723-Y15949,1119749500_17302_3054-X17723-Y15949_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,7.0,CP_layernan,CP
73,73,17302_3063-X16234-Y15505,1119749502_17302_3063-X16234-Y15505_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,5.0,CP_layernan,CP
74,74,17302_3072-X18275-Y16230,1119749504_17302_3072-X18275-Y16230_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,0.0,CP_layernan,CP
75,75,17302_3096-X16415-Y15069,1119749506_17302_3096-X16415-Y15069_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,2.0,CP_layernan,CP
76,76,17302_3104-X20212-Y16377,1119749508_17302_3104-X20212-Y16377_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,3.0,CP_layernan,CP
77,77,17302_3110-X18082-Y15784,1119749510_17302_3110-X18082-Y15784_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,4.0,CP_layernan,CP
78,78,17302_3119-X22794-Y23135,1119749512_17302_3119-X22794-Y23135_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,0.0,CP_layernan,CP
79,79,17302_3122-X23279-Y24054,1119749515_17302_3122-X23279-Y24054_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,9.0,CP_layernan,CP
80,80,17302_3130-X13812-Y42025,1119749517_17302_3130-X13812-Y42025_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,7.0,CP_layernan,CP
81,81,17302_3169-X17114-Y15565,1119749519_17302_3169-X17114-Y15565_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,6.0,CP_layernan,CP
82,82,17302_3203-X16998-Y15661,1119749521_17302_3203-X16998-Y15661_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,8.0,CP_layernan,CP
83,83,17302_3218-X17695-Y15518,1119749523_17302_3218-X17695-Y15518_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_SNr,672.0,2.0,CP_layernan,CP
84,84,17302_3261-X18988-Y15755,1119749525_17302_3261-X18988-Y15755_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,5.0,CP_layernan,CP
85,85,17302_3261-X23296-Y20328,1119749527_17302_3261-X23296-Y20328_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_others,672.0,1.0,CP_layernan,CP
86,86,17302_3299-X20775-Y18296,1119749529_17302_3299-X20775-Y18296_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,9.0,CP_layernan,CP
87,87,17302_3315-X22439-Y36402,1119749533_17302_3315-X22439-Y36402_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,5.0,CP_layernan,CP
88,88,17302_3477-X14936-Y29812,1119749535_17302_3477-X14936-Y29812_reg.swc,PVT,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_matrix,149.0,4.0,PVT_layernan,PVT
89,89,17302_3700-X22121-Y18606,1119749537_17302_3700-X22121-Y18606_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,8.0,CP_layernan,CP
90,90,17302_3794-X16300-Y30691,1119749539_17302_3794-X16300-Y30691_reg.swc,MD,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_matrix,362.0,5.0,MD_layernan,MD
91,91,17302_4033-X15030-Y27059,1119749541_17302_4033-X15030-Y27059_reg.swc,AM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,127.0,1.0,AM_layernan,AM
92,92,17302_4129-X13743-Y43876,1119749543_17302_4129-X13743-Y43876_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,7.0,CP_layernan,CP
93,93,17302_4155-X16627-Y38849,1119749545_17302_4155-X16627-Y38849_reg.swc,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,733.0,9.0,VPM_layernan,VPM
94,94,17302_4279-X15595-Y22231,1119749547_17302_4279-X15595-Y22231_reg.swc,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,718.0,2.0,VPL_layernan,VPL
95,95,17302_4341-X14992-Y21956,1119749549_17302_4341-X14992-Y21956_reg.swc,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,718.0,4.0,VPL_layernan,VPL
96,96,17302_4388-X16635-Y39155,1119749551_17302_4388-X16635-Y39155_reg.swc,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,733.0,0.0,VPM_layernan,VPM
97,97,17302_4431-X17320-Y21960,1119749554_17302_4431-X17320-Y21960_reg.swc,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,733.0,8.0,VPM_layernan,VPM
98,98,17302_4570-X16585-Y38434,1119749557_17302_4570-X16585-Y38434_reg.swc,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,733.0,1.0,VPM_layernan,VPM
99,99,17302_4580-X16477-Y14183,1119749563_17302_4580-X16477-Y14183_reg.swc,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,CP_GPe,672.0,4.0,CP_layernan,CP
100,100,17302_4598-X16630-Y39046,1119749566_17302_4598-X16630-Y39046_reg.swc,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,733.0,3.0,VPM_layernan,VPM
101,101,17302_4680-X17566-Y40340,1119749568_17302_4680-X17566-Y40340_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,0.0,LGd_layernan,LGd
102,102,17302_4744-X16573-Y39214,1119749571_17302_4744-X16573-Y39214_reg.swc,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,718.0,7.0,VPL_layernan,VPL
103,103,17302_4756-X16319-Y39875,1119749573_17302_4756-X16319-Y39875_reg.swc,VPL,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,718.0,5.0,VPL_layernan,VPL
104,104,17302_4765-X18772-Y19445,1119749575_17302_4765-X18772-Y19445_reg.swc,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,733.0,7.0,VPM_layernan,VPM
105,105,17302_4806-X16491-Y22989,1119749579_17302_4806-X16491-Y22989_reg.swc,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,733.0,6.0,VPM_layernan,VPM
106,106,17302_4868-X18982-Y39396,1119749581_17302_4868-X18982-Y39396_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,1.0,LGd_layernan,LGd
107,107,17302_4878-X21126-Y20896,1119749583_17302_4878-X21126-Y20896_reg.swc,LD,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,155.0,8.0,LD_layernan,LD
108,108,17302_4886-X18222-Y37704,1119749585_17302_4886-X18222-Y37704_reg.swc,LP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_matrix,218.0,8.0,LP_layernan,LP
109,109,17302_4923-X21121-Y20590,1119749587_17302_4923-X21121-Y20590_reg.swc,LD,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,155.0,2.0,LD_layernan,LD
110,110,17302_4936-X19058-Y39206,1119749589_17302_4936-X19058-Y39206_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,4.0,LGd_layernan,LGd
111,111,17302_4964-X20798-Y20046,1119749591_17302_4964-X20798-Y20046_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,3.0,LGd_layernan,LGd
112,112,17302_5011-X18546-Y38936,1119749593_17302_5011-X18546-Y38936_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,2.0,LGd_layernan,LGd
113,113,17302_5037-X17408-Y40903,1119749595_17302_5037-X17408-Y40903_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,7.0,LGd_layernan,LGd
114,114,17302_5170-X16304-Y40303,1119749600_17302_5170-X16304-Y40303_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,9.0,LGd_layernan,LGd
115,115,17302_5192-X16035-Y38907,1119749604_17302_5192-X16035-Y38907_reg.swc,MG,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,475.0,3.0,MG_layernan,MG
116,116,17302_5196-X19647-Y19461,1119749607_17302_5196-X19647-Y19461_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,5.0,LGd_layernan,LGd
117,117,17302_5219-X15831-Y38807,1119749609_17302_5219-X15831-Y38807_reg.swc,MG,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,475.0,6.0,MG_layernan,MG
118,118,17302_5221-X20614-Y20754,1119749611_17302_5221-X20614-Y20754_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,8.0,LGd_layernan,LGd
119,119,17302_5222-X20503-Y20346,1119749613_17302_5222-X20503-Y20346_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,6.0,LGd_layernan,LGd
120,120,17302_5360-X20042-Y20005,1119749616_17302_5360-X20042-Y20005_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,4.0,LGd_layernan,LGd
121,121,17302_5396-X19681-Y20348,1119749618_17302_5396-X19681-Y20348_reg.swc,LGd,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,170.0,7.0,LGd_layernan,LGd
122,122,17302_5418-X16210-Y40007,1119749620_17302_5418-X16210-Y40007_reg.swc,MG,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,475.0,0.0,MG_layernan,MG
123,123,17302_5581-X17565-Y19651,1119749622_17302_5581-X17565-Y19651_reg.swc,MG,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core,475.0,5.0,MG_layernan,MG
