,specimen__id,DOI,specimen__date,specimen__strain,label__virus,label__fluorophore,swc__fname,structure__id,structure__acronym,structure__layer,structure_parent__id,structure_parent__acronym
52,AA0849,10.25378/janelia.7739936,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0849.swc,502.0,SUB,,502.0,SUB
53,AA0103,10.25378/janelia.5526688,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0103.swc,1021.0,MOs6a,6a,993.0,MOs
54,AA0434,10.25378/janelia.7614302,2017-10-31T15:26:25.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0434.swc,136.0,IRN,,136.0,IRN
55,AA0961,10.25378/janelia.7804361,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0961.swc,984.0,CENT3,,984.0,CENT3
56,AA1002,10.25378/janelia.7821986,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1002.swc,20.0,ENTl2,2,918.0,ENTl
57,AA0557,10.25378/janelia.7640240,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0557.swc,576073704.0,PeF,,576073704.0,PeF
58,AA1095,10.25378/janelia.7825439,2018-10-01T19:57:10.000Z,C57BL/6N,AAV 2/5 Cre + tdT,tdTomato,AA1095.swc,443.0,dhc,,443.0,dhc
59,AA0121,10.25378/janelia.5527237,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0121.swc,630.0,ORBl5,5,723.0,ORBl
60,AA0447,10.25378/janelia.7614803,2017-11-17T22:11:53.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0447.swc,466.0,alv,,466.0,alv
61,AA0043,10.25378/janelia.5521720,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0043.swc,844.0,MOp6a,,844.0,MOp6a
62,AA1023,10.25378/janelia.7822085,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1023.swc,1007.0,SIM,,1007.0,SIM
63,AA0001,10.25378/janelia.5520037,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0001.swc,974.0,SSp-m5,5,345.0,SSp-m
64,AA1217,n/a,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1217.swc,629.0,VAL,,629.0,VAL
65,AA0871,10.25378/janelia.7742561,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0871.swc,502.0,SUB,,502.0,SUB
66,AA0727,10.25378/janelia.7707206,2018-05-23T13:47:38.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,immuno labeled for anti-GFP,AA0727.swc,919.0,ACAd6a,6a,39.0,ACAd
67,AA1001,10.25378/janelia.7821977,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1001.swc,507.0,MOB,,507.0,MOB
68,AA0643,10.25378/janelia.7658099,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0643.swc,382.0,CA1,,382.0,CA1
69,AA1085,10.25378/janelia.7825331,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1085.swc,437.0,SPVI,,437.0,SPVI
70,AA0623,10.25378/janelia.7655756,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0623.swc,767.0,MOs5,5,993.0,MOs
71,AA0042,10.25378/janelia.5521714,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0042.swc,844.0,MOp6a,,844.0,MOp6a
72,AA0486,10.25378/janelia.7616012,2017-11-17T22:11:53.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0486.swc,797.0,ZI,,797.0,ZI
73,AA0866,10.25378/janelia.7740092,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0866.swc,962.0,MOs2/3,2/3,993.0,MOs
74,AA1532,n/a,2020-09-15T04:00:00.000Z,Vgat-Cre,??,GFP; AF488,AA1532.swc,1093.0,PRNc,,1093.0,PRNc
75,AA0274,10.25378/janelia.5527774,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0274.swc,767.0,MOs5,5,993.0,MOs
76,AA0671,10.25378/janelia.7704200,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0671.swc,656.0,MOs1,1,993.0,MOs
77,AA1261,n/a,2019-05-27T04:00:00.000Z,Som-Cre,CAG-Flex-Rev-FlpO; CAG-FRT-Rev-3xGFP,GFP; AF488,AA1261.swc,178.0,LGv,,178.0,LGv
78,AA0281,10.25378/janelia.5527798,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0281.swc,767.0,MOs5,5,993.0,MOs
79,AA0120,10.25378/janelia.5527234,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0120.swc,440.0,ORBl6a,6a,723.0,ORBl
80,AA1548,n/a,2021-02-06T00:00:00.000Z,No strain found,In-utero;(DH),GFP ; AF488,AA1548.swc,382.0,CA1,,382.0,CA1
81,AA1034,10.25378/janelia.7822262,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1034.swc,606826659.0,MMd,,606826659.0,MMd
82,AA0888,10.25378/janelia.7742810,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0888.swc,767.0,MOs5,5,993.0,MOs
83,AA1018,10.25378/janelia.7822043,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1018.swc,728.0,arb,,728.0,arb
84,AA0085,10.25378/janelia.5526634,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0085.swc,305.0,VISp6b,6b,385.0,VISp
85,AA0651,10.25378/janelia.7658147,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 GFP,immuno labeled for anti-GFP,AA0651.swc,629.0,VAL,,629.0,VAL
86,AA0504,10.25378/janelia.7639655,2018-01-30T16:19:46.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0504.swc,354.0,MY,,354.0,MY
87,AA0537,10.25378/janelia.7640093,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0537.swc,88.0,AHN,,88.0,AHN
88,AA0990,10.25378/janelia.7821707,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0990.swc,1025.0,PRM,,1025.0,PRM
89,AA0092,10.25378/janelia.5526655,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0092.swc,347.0,SBPV,,347.0,SBPV
90,AA0937,10.25378/janelia.7803986,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0937.swc,606826659.0,MMd,,606826659.0,MMd
91,AA0595,10.25378/janelia.7649975,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 GFP,immuno labeled for anti-GFP,AA0595.swc,629.0,VAL,,629.0,VAL
92,AA0822,10.25378/janelia.7739735,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0822.swc,502.0,SUB,,502.0,SUB
93,AA0234,10.25378/janelia.5527615,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0234.swc,919.0,ACAd6a,6a,39.0,ACAd
94,AA1090,10.25378/janelia.7825373,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1090.swc,1037.0,POST,,1037.0,POST
95,AA0674,10.25378/janelia.7704212,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0674.swc,656.0,MOs1,1,993.0,MOs
96,AA0551,10.25378/janelia.7640207,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0551.swc,1037.0,POST,,1037.0,POST
97,AA0601,10.25378/janelia.7650035,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 GFP,immuno labeled for anti-GFP,AA0601.swc,575.0,CL,,575.0,CL
98,AA0796,10.25378/janelia.7739525,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0796.swc,772.0,ACAv5,5,48.0,ACAv
99,AA0816,10.25378/janelia.7739711,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0816.swc,382.0,CA1,,382.0,CA1
100,AA0426,10.25378/janelia.7614251,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0426.swc,962.0,MOs2/3,2/3,993.0,MOs
101,AA0132,10.25378/janelia.5527270,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0132.swc,648.0,MOp5,,648.0,MOp5
102,AA0659,10.25378/janelia.7658231,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0659.swc,962.0,MOs2/3,2/3,993.0,MOs
103,AA0681,10.25378/janelia.7704242,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0681.swc,10703.0,DG-mo,,10703.0,DG-mo
104,AA0371,10.25378/janelia.7613924,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0371.swc,362.0,MD,,362.0,MD
105,AA0118,10.25378/janelia.5526733,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0118.swc,962.0,MOs2/3,2/3,993.0,MOs
106,AA0884,10.25378/janelia.7742789,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0884.swc,962.0,MOs2/3,2/3,993.0,MOs
107,AA1062,10.25378/janelia.7825160,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1062.swc,202.0,MV,,202.0,MV
108,AA0618,10.25378/janelia.7655729,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0618.swc,320.0,MOp1,,320.0,MOp1
109,AA0183,10.25378/janelia.5527450,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0183.swc,1021.0,MOs6a,6a,993.0,MOs
110,AA0957,10.25378/janelia.7804091,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0957.swc,655.0,COApl,,655.0,COApl
111,AA0808,10.25378/janelia.7739645,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/5 Syn-iCre + AAV2/5 CAG-Flex GFP,anti-GFP,AA0808.swc,797.0,ZI,,797.0,ZI
112,AA0921,10.25378/janelia.7803701,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0921.swc,629.0,VAL,,629.0,VAL
113,AA0692,10.25378/janelia.7704296,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 tDT,immuno labeled for anti-tDT,AA0692.swc,629.0,VAL,,629.0,VAL
114,AA0600,10.25378/janelia.7650029,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0600.swc,767.0,MOs5,5,993.0,MOs
115,AA0606,10.25378/janelia.7650050,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 tDT,immuno labeled for anti-tDT,AA0606.swc,194.0,LHA,,194.0,LHA
116,AA0248,10.25378/janelia.5527672,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0248.swc,484682470.0,ProS,,484682470.0,ProS
117,AA0839,10.25378/janelia.7739897,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0839.swc,1021.0,MOs6a,6a,993.0,MOs
118,AA0072,10.25378/janelia.5521834,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0072.swc,1037.0,POST,,1037.0,POST
119,AA0593,10.25378/janelia.7649957,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 GFP,immuno labeled for anti-GFP,AA0593.swc,907.0,PCN,,907.0,PCN
120,AA0793,10.25378/janelia.7739510,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0793.swc,962.0,MOs2/3,2/3,993.0,MOs
121,AA0148,10.25378/janelia.5527333,2017-02-22T22:37:17.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP;,AA0148.swc,632.0,DG-sg,,632.0,DG-sg
122,AA0980,10.25378/janelia.7804475,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0980.swc,1064.0,ANcr2,,1064.0,ANcr2
123,AA0476,10.25378/janelia.7615970,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0476.swc,502.0,SUB,,502.0,SUB
124,AA1013,10.25378/janelia.7822022,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1013.swc,1007.0,SIM,,1007.0,SIM
125,AA1053,10.25378/janelia.7825130,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1053.swc,931.0,PG,,931.0,PG
126,AA0225,10.25378/janelia.5527585,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0225.swc,844.0,MOp6a,,844.0,MOp6a
