,Unnamed: 0,specimen__id,DOI,specimen__date,specimen__strain,label__virus,label__fluorophore,swc__fname,structure__id,structure__acronym,structure__layer,structure_parent__id,structure_parent__acronym,model__fold,structure__safe_name,structure_merge__acronym
11,11,AA0016,10.25378/janelia.5521630,2017-01-15T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0016.swc,255.0,AV,,255.0,AV,2.0,AV_layernan,AV
12,12,AA0851,10.25378/janelia.7739948,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0851.swc,382.0,CA1,,382.0,CA1,8.0,CA1_layernan,CA1
13,13,AA0819,10.25378/janelia.7739726,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0819.swc,382.0,CA1,,382.0,CA1,1.0,CA1_layernan,CA1
14,14,AA1103,,2018-10-01T19:57:10.000Z,C57BL/6N,AAV2/1 Cre+GFP,anti-GFP AAV J27,AA1103.swc,733.0,VPM,,733.0,VPM,0.0,VPM_layernan,VPM
15,15,AA0685,10.25378/janelia.7704272,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0685.swc,484682470.0,ProS,,484682470.0,ProS,8.0,ProS_layernan,ProS
16,16,AA0108,10.25378/janelia.5526703,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0108.swc,767.0,MOs5,5,993.0,MOs,0.0,MOs_layer5,Isocortex_layer5
17,17,AA0938,10.25378/janelia.7803989,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0938.swc,364.0,PSTN,,364.0,PSTN,2.0,PSTN_layernan,PSTN
18,18,AA0802,10.25378/janelia.7739555,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0802.swc,962.0,MOs2/3,2/3,993.0,MOs,5.0,MOs_layer23,Isocortex_layer2/3
19,19,AA0049,10.25378/janelia.5521741,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0049.swc,1020.0,PO,,1020.0,PO,7.0,PO_layernan,PO
20,20,AA0247,10.25378/janelia.5527669,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0247.swc,484682470.0,ProS,,484682470.0,ProS,3.0,ProS_layernan,ProS
21,21,AA0422,10.25378/janelia.7614236,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0422.swc,767.0,MOs5,5,993.0,MOs,5.0,MOs_layer5,Isocortex_layer5
22,22,AA0612,10.25378/janelia.7653152,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 tDT,immuno labeled for anti-tDT,AA0612.swc,629.0,VAL,,629.0,VAL,3.0,VAL_layernan,VAL
23,23,AA1190,,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1190.swc,648.0,MOp5,,648.0,MOp5,8.0,MOp5_layernan,Isocortex_layernan
24,24,AA0357,10.25378/janelia.7613840,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0357.swc,155.0,LD,,155.0,LD,2.0,LD_layernan,LD
25,25,AA0981,10.25378/janelia.7804478,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0981.swc,1033.0,COPY,,1033.0,COPY,7.0,COPY_layernan,COPY
26,26,AA0386,10.25378/janelia.7614056,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0386.swc,1084.0,PRE,,1084.0,PRE,4.0,PRE_layernan,PRE
27,27,AA0438,10.25378/janelia.7614317,2017-10-31T15:26:25.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0438.swc,351.0,BST,,351.0,BST,7.0,BST_layernan,BST
28,28,AA0041,10.25378/janelia.5521711,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0041.swc,844.0,MOp6a,,844.0,MOp6a,9.0,MOp6a_layernan,Isocortex_layernan
29,29,AA0511,10.25378/janelia.7639793,2018-01-30T16:19:46.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0511.swc,313.0,MB,,313.0,MB,1.0,MB_layernan,MB
30,30,AA0840,10.25378/janelia.7739903,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0840.swc,767.0,MOs5,5,993.0,MOs,6.0,MOs_layer5,Isocortex_layer5
31,31,AA0463,10.25378/janelia.7615868,2017-11-17T22:11:53.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0463.swc,1021.0,MOs6a,6a,993.0,MOs,0.0,MOs_layer6a,Isocortex_layer6
32,32,AA1016,10.25378/janelia.7822037,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1016.swc,1007.0,SIM,,1007.0,SIM,8.0,SIM_layernan,SIM
33,33,AA0190,10.25378/janelia.5527474,2017-06-10T19:59:48.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0190.swc,767.0,MOs5,5,993.0,MOs,9.0,MOs_layer5,Isocortex_layer5
34,34,AA0367,10.25378/janelia.7613909,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0367.swc,575.0,CL,,575.0,CL,3.0,CL_layernan,CL
35,35,AA0359,10.25378/janelia.7613849,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0359.swc,218.0,LP,,218.0,LP,0.0,LP_layernan,LP
36,36,AA0911,10.25378/janelia.7780874,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0911.swc,526157196.0,FRP6a,6a,184.0,FRP,4.0,FRP_layer6a,Isocortex_layer6
37,37,AA0576,10.25378/janelia.7649849,2018-04-03T15:08:17.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0576.swc,767.0,MOs5,5,993.0,MOs,3.0,MOs_layer5,Isocortex_layer5
38,38,AA1069,10.25378/janelia.7825211,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1069.swc,437.0,SPVI,,437.0,SPVI,0.0,SPVI_layernan,SPVI
39,39,AA0635,10.25378/janelia.7658069,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0635.swc,962.0,MOs2/3,2/3,993.0,MOs,4.0,MOs_layer23,Isocortex_layer2/3
40,40,AA1017,10.25378/janelia.7822040,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1017.swc,1041.0,PFL,,1041.0,PFL,4.0,PFL_layernan,PFL
41,41,AA0558,10.25378/janelia.7640243,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0558.swc,194.0,LHA,,194.0,LHA,6.0,LHA_layernan,LHA
42,42,AA0073,10.25378/janelia.5521795,2016-10-31T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0073.swc,64.0,AD,,64.0,AD,0.0,AD_layernan,AD
43,43,AA0761,10.25378/janelia.7710053,2018-06-14T17:03:18.000Z,C57BL/6N,AAV2/5 Cre + AAV2/1 GFP,anti-GFP 2x NucID J25,AA0761.swc,194.0,LHA,,194.0,LHA,4.0,LHA_layernan,LHA
44,44,AA0233,10.25378/janelia.5527612,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0233.swc,767.0,MOs5,5,993.0,MOs,2.0,MOs_layer5,Isocortex_layer5
45,45,AA0650,10.25378/janelia.7658144,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0650.swc,767.0,MOs5,5,993.0,MOs,1.0,MOs_layer5,Isocortex_layer5
46,46,AA0518,10.25378/janelia.7639832,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0518.swc,255.0,AV,,255.0,AV,0.0,AV_layernan,AV
47,47,AA0342,10.25378/janelia.7613765,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0342.swc,629.0,VAL,,629.0,VAL,1.0,VAL_layernan,VAL
48,48,AA0583,10.25378/janelia.7649900,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0583.swc,962.0,MOs2/3,2/3,993.0,MOs,2.0,MOs_layer23,Isocortex_layer2/3
49,49,AA0660,10.25378/janelia.7658234,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0660.swc,656.0,MOs1,1,993.0,MOs,9.0,MOs_layer1,Isocortex_layer1
50,50,AA1136,,2018-10-01T19:57:10.000Z,C57BL/6N,AAV 2/5 Cre + tdT,tdTomato,AA1136.swc,484682520.0,or,,484682520.0,or,0.0,or_layernan,or
51,51,AA0904,10.25378/janelia.7780844,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/5 Syn-iCre + AAV2/5 CAG-Flex GFP,anti-GFP,AA0904.swc,797.0,ZI,,797.0,ZI,3.0,ZI_layernan,ZI
52,52,AA0849,10.25378/janelia.7739936,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0849.swc,502.0,SUB,,502.0,SUB,7.0,SUB_layernan,SUB
53,53,AA0103,10.25378/janelia.5526688,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0103.swc,1021.0,MOs6a,6a,993.0,MOs,3.0,MOs_layer6a,Isocortex_layer6
54,54,AA0434,10.25378/janelia.7614302,2017-10-31T15:26:25.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0434.swc,136.0,IRN,,136.0,IRN,5.0,IRN_layernan,IRN
55,55,AA0961,10.25378/janelia.7804361,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0961.swc,984.0,CENT3,,984.0,CENT3,6.0,CENT3_layernan,CENT3
56,56,AA1002,10.25378/janelia.7821986,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1002.swc,20.0,ENTl2,2,918.0,ENTl,4.0,ENTl_layer2,ENTl
57,57,AA0557,10.25378/janelia.7640240,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0557.swc,576073704.0,PeF,,576073704.0,PeF,2.0,PeF_layernan,PeF
58,58,AA1095,10.25378/janelia.7825439,2018-10-01T19:57:10.000Z,C57BL/6N,AAV 2/5 Cre + tdT,tdTomato,AA1095.swc,443.0,dhc,,443.0,dhc,6.0,dhc_layernan,dhc
59,59,AA0121,10.25378/janelia.5527237,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0121.swc,630.0,ORBl5,5,723.0,ORBl,6.0,ORBl_layer5,Isocortex_layer5
60,60,AA0447,10.25378/janelia.7614803,2017-11-17T22:11:53.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0447.swc,466.0,alv,,466.0,alv,5.0,alv_layernan,alv
61,61,AA0043,10.25378/janelia.5521720,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0043.swc,844.0,MOp6a,,844.0,MOp6a,1.0,MOp6a_layernan,Isocortex_layernan
62,62,AA1023,10.25378/janelia.7822085,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1023.swc,1007.0,SIM,,1007.0,SIM,1.0,SIM_layernan,SIM
63,63,AA0001,10.25378/janelia.5520037,2015-06-19T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0001.swc,974.0,SSp-m5,5,345.0,SSp-m,6.0,SSp-m_layer5,Isocortex_layer5
64,64,AA1217,,2018-12-01T05:00:00.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flp,Immunolabeled with anti-GFP; Alexa-488,AA1217.swc,629.0,VAL,,629.0,VAL,8.0,VAL_layernan,VAL
65,65,AA0871,10.25378/janelia.7742561,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0871.swc,502.0,SUB,,502.0,SUB,1.0,SUB_layernan,SUB
66,66,AA0727,10.25378/janelia.7707206,2018-05-23T13:47:38.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,immuno labeled for anti-GFP,AA0727.swc,919.0,ACAd6a,6a,39.0,ACAd,4.0,ACAd_layer6a,Isocortex_layer6
67,67,AA1001,10.25378/janelia.7821977,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1001.swc,507.0,MOB,,507.0,MOB,1.0,MOB_layernan,MOB
68,68,AA0643,10.25378/janelia.7658099,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0643.swc,382.0,CA1,,382.0,CA1,0.0,CA1_layernan,CA1
69,69,AA1085,10.25378/janelia.7825331,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1085.swc,437.0,SPVI,,437.0,SPVI,1.0,SPVI_layernan,SPVI
70,70,AA0623,10.25378/janelia.7655756,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0623.swc,767.0,MOs5,5,993.0,MOs,7.0,MOs_layer5,Isocortex_layer5
71,71,AA0042,10.25378/janelia.5521714,2016-07-18T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0042.swc,844.0,MOp6a,,844.0,MOp6a,5.0,MOp6a_layernan,Isocortex_layernan
72,72,AA0486,10.25378/janelia.7616012,2017-11-17T22:11:53.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0486.swc,797.0,ZI,,797.0,ZI,7.0,ZI_layernan,ZI
73,73,AA0866,10.25378/janelia.7740092,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0866.swc,962.0,MOs2/3,2/3,993.0,MOs,3.0,MOs_layer23,Isocortex_layer2/3
74,74,AA1532,,2020-09-15T04:00:00.000Z,Vgat-Cre,??,GFP; AF488,AA1532.swc,1093.0,PRNc,,1093.0,PRNc,6.0,PRNc_layernan,PRNc
75,75,AA0274,10.25378/janelia.5527774,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0274.swc,767.0,MOs5,5,993.0,MOs,4.0,MOs_layer5,Isocortex_layer5
76,76,AA0671,10.25378/janelia.7704200,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0671.swc,656.0,MOs1,1,993.0,MOs,4.0,MOs_layer1,Isocortex_layer1
77,77,AA1261,,2019-05-27T04:00:00.000Z,Som-Cre,CAG-Flex-Rev-FlpO; CAG-FRT-Rev-3xGFP,GFP; AF488,AA1261.swc,178.0,LGv,,178.0,LGv,4.0,LGv_layernan,LGv
78,78,AA0281,10.25378/janelia.5527798,2017-06-28T21:36:40.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0281.swc,767.0,MOs5,5,993.0,MOs,6.0,MOs_layer5,Isocortex_layer5
79,79,AA0120,10.25378/janelia.5527234,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0120.swc,440.0,ORBl6a,6a,723.0,ORBl,8.0,ORBl_layer6a,Isocortex_layer6
80,80,AA1548,,2021-02-06T00:00:00.000Z,No strain found,In-utero;(DH),GFP ; AF488,AA1548.swc,382.0,CA1,,382.0,CA1,2.0,CA1_layernan,CA1
81,81,AA1034,10.25378/janelia.7822262,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1034.swc,606826659.0,MMd,,606826659.0,MMd,8.0,MMd_layernan,MMd
82,82,AA0888,10.25378/janelia.7742810,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0888.swc,767.0,MOs5,5,993.0,MOs,7.0,MOs_layer5,Isocortex_layer5
83,83,AA1018,10.25378/janelia.7822043,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1018.swc,728.0,arb,,728.0,arb,2.0,arb_layernan,arb
84,84,AA0085,10.25378/janelia.5526634,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0085.swc,305.0,VISp6b,6b,385.0,VISp,9.0,VISp_layer6b,Isocortex_layer6
85,85,AA0651,10.25378/janelia.7658147,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 GFP,immuno labeled for anti-GFP,AA0651.swc,629.0,VAL,,629.0,VAL,0.0,VAL_layernan,VAL
86,86,AA0504,10.25378/janelia.7639655,2018-01-30T16:19:46.000Z,C57BL/6N,AAV2/1.FLEX-TVA and G,Immunolabeled with anti-GFP; Alexa-488,AA0504.swc,354.0,MY,,354.0,MY,5.0,MY_layernan,MY
87,87,AA0537,10.25378/janelia.7640093,2018-03-09T18:07:35.000Z,C57BL/6N,AAV 2/5 Cre + GFP,eGFP,AA0537.swc,88.0,AHN,,88.0,AHN,1.0,AHN_layernan,AHN
88,88,AA0990,10.25378/janelia.7821707,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0990.swc,1025.0,PRM,,1025.0,PRM,6.0,PRM_layernan,PRM
89,89,AA0092,10.25378/janelia.5526655,2016-10-25T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0092.swc,347.0,SBPV,,347.0,SBPV,6.0,SBPV_layernan,SBPV
90,90,AA0937,10.25378/janelia.7803986,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA0937.swc,606826659.0,MMd,,606826659.0,MMd,0.0,MMd_layernan,MMd
91,91,AA0595,10.25378/janelia.7649975,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 GFP,immuno labeled for anti-GFP,AA0595.swc,629.0,VAL,,629.0,VAL,6.0,VAL_layernan,VAL
92,92,AA0822,10.25378/janelia.7739735,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0822.swc,502.0,SUB,,502.0,SUB,2.0,SUB_layernan,SUB
93,93,AA0234,10.25378/janelia.5527615,2014-06-24T16:07:05.000Z,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,AA0234.swc,919.0,ACAd6a,6a,39.0,ACAd,0.0,ACAd_layer6a,Isocortex_layer6
94,94,AA1090,10.25378/janelia.7825373,2018-08-01T17:24:59.000Z,Sim1-Cre,PHP-eB-CAG-FRT-rev-3xGFP+PHP-eB-CAG-flex-rev-Flpo,Immunolabeled with anti-GFP; Alexa-488,AA1090.swc,1037.0,POST,,1037.0,POST,6.0,POST_layernan,POST
95,95,AA0674,10.25378/janelia.7704212,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0674.swc,656.0,MOs1,1,993.0,MOs,3.0,MOs_layer1,Isocortex_layer1
96,96,AA0551,10.25378/janelia.7640207,2018-03-09T18:07:35.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0551.swc,1037.0,POST,,1037.0,POST,0.0,POST_layernan,POST
97,97,AA0601,10.25378/janelia.7650035,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/5 Cre + AAV2/5 GFP,immuno labeled for anti-GFP,AA0601.swc,575.0,CL,,575.0,CL,4.0,CL_layernan,CL
98,98,AA0796,10.25378/janelia.7739525,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0796.swc,772.0,ACAv5,5,48.0,ACAv,5.0,ACAv_layer5,Isocortex_layer5
99,99,AA0816,10.25378/janelia.7739711,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0816.swc,382.0,CA1,,382.0,CA1,3.0,CA1_layernan,CA1
100,100,AA0426,10.25378/janelia.7614251,2017-09-25T17:59:45.000Z,C57BL/6N,AAV2/1 Cre+GFP,eGFP,AA0426.swc,962.0,MOs2/3,2/3,993.0,MOs,0.0,MOs_layer23,Isocortex_layer2/3
101,101,AA0132,10.25378/janelia.5527270,2016-04-04T18:25:30.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0132.swc,648.0,MOp5,,648.0,MOp5,4.0,MOp5_layernan,Isocortex_layernan
102,102,AA0659,10.25378/janelia.7658231,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 GFP,immuno labeled for anti-GFP,AA0659.swc,962.0,MOs2/3,2/3,993.0,MOs,1.0,MOs_layer23,Isocortex_layer2/3
103,103,AA0681,10.25378/janelia.7704242,2018-04-13T15:28:33.000Z,C57BL/6N,AAV2/1 Cre + AAV2/1 tDT,immuno labeled for anti-tDT,AA0681.swc,10703.0,DG-mo,,10703.0,DG-mo,0.0,DG-mo_layernan,DG-mo
104,104,AA0371,10.25378/janelia.7613924,2017-09-19T19:27:58.000Z,C57BL/6J,AAV 2/5 Cre + tdT,immuno labeled for anti-tDT,AA0371.swc,362.0,MD,,362.0,MD,2.0,MD_layernan,MD
105,105,AA0118,10.25378/janelia.5526733,2015-07-11T12:00:00.000Z,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,AA0118.swc,962.0,MOs2/3,2/3,993.0,MOs,8.0,MOs_layer23,Isocortex_layer2/3
106,106,AA0884,10.25378/janelia.7742789,2018-07-02T18:52:28.000Z,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,AA0884.swc,962.0,MOs2/3,2/3,993.0,MOs,5.0,MOs_layer23,Isocortex_layer2/3
